file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Maps.java,com.google.common.collect.Maps$UnmodifiableNavigableMap,innerclass,11,11,0,11,35,3,0,24,217,0.6911765,0.0,0.0,34,0,31,0,1,2,34,0,2,0,2,0,0,2,0,0,1,0,12,108,21,0,1,0,1,0,0,5,0,3,0,0,0,0,54,26,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/io/Files.java,com.google.common.io.Files$FilePredicate$Anonymous3,anonymous,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/io/Files.java,com.google.common.io.Files$FilePredicate$Anonymous2,anonymous,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/reflect/Types.java,com.google.common.reflect.Types$ClassOwnership$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/reflect/Types.java,com.google.common.reflect.Types$ClassOwnership$Anonymous2,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/AbstractMapBasedMultiset.java,com.google.common.collect.AbstractMapBasedMultiset$Anonymous2$Anonymous3,anonymous,4,4,0,4,6,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,4,0,1,0,2,2,0,2,2,0,0,0,7,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/reflect/Types.java,com.google.common.reflect.Types$ClassOwnership$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/AbstractMapBasedMultimap.java,com.google.common.collect.AbstractMapBasedMultimap$KeySet,innerclass,8,8,0,8,11,5,0,13,28,0.0,0.0,0.0,8,0,7,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,52,6,0,2,0,0,0,2,5,0,3,1,1,0,0,25,2,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Lists.java,com.google.common.collect.Lists$RandomAccessListWrapper,innerclass,3,3,0,3,1,4,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/MapMakerInternalMap.java,com.google.common.collect.MapMakerInternalMap$ValueIterator,innerclass,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/ClosingFuture.java,com.google.common.util.concurrent.ClosingFuture$Combiner4$AsyncClosingFunction4,interface,9,9,0,9,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/ForwardingFluentFuture.java,com.google.common.util.concurrent.ForwardingFluentFuture,class,6,7,1,6,8,6,0,8,0,0.0,0.0,0.0,8,0,7,0,0,1,8,0,0,0,1,0,0,1,0,0,1,0,0,27,6,0,0,0,0,0,0,1,0,1,0,0,0,0,62,16,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/io/CharStreams.java,com.google.common.io.CharStreams,class,13,17,4,13,26,2,0,22,72,0.7692308,0.0,0.0,13,12,8,2,0,3,11,0,0,0,1,1,0,1,0,0,1,0,12,150,14,7,7,0,5,0,13,24,0,19,2,0,1,0,224,17,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/base/CommonMatcher.java,com.google.common.base.CommonMatcher,class,1,7,6,1,6,1,2,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1024,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/reflect/AbstractInvocationHandler.java,com.google.common.reflect.AbstractInvocationHandler,class,2,3,1,2,17,1,0,17,19,0.71428573,0.0,0.0,7,1,5,1,1,0,6,1,1,0,1,1,0,1,0,0,1,0,4,40,10,0,7,0,1,3,5,3,0,2,2,0,0,0,96,1025,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/graph/DirectedGraphConnections.java,com.google.common.graph.DirectedGraphConnections$NodeConnection$Succ,innerclass,4,4,0,4,4,2,0,2,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,1,0,0,0,1,0,1,0,0,0,9,24,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/InterruptibleTask.java,com.google.common.util.concurrent.InterruptibleTask$DoNothingRunnable,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/ForwardingSortedSetMultimap.java,com.google.common.collect.ForwardingSortedSetMultimap,class,8,9,1,8,6,3,0,5,15,0.0,0.0,0.0,6,0,4,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1025,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/LinkedHashMultimap.java,com.google.common.collect.LinkedHashMultimap$ValueSet$Anonymous1,anonymous,8,8,0,8,8,1,0,4,0,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,3,0,0,0,0,3,0,0,1,32,2,0,4,0,0,1,0,8,0,5,1,0,0,0,31,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/Striped.java,com.google.common.util.concurrent.Striped$WeakSafeLock,innerclass,3,3,0,3,3,2,0,1,0,0.16666667,0.0,0.0,3,0,1,0,0,2,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,1,0,2,0,2,0,0,0,0,20,26,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/graph/NetworkBuilder.java,com.google.common.graph.NetworkBuilder,class,16,22,6,16,13,2,0,15,74,0.8717949,0.0,0.0,13,3,11,2,0,0,11,0,0,0,3,0,0,0,0,3,0,0,3,53,12,0,0,0,0,1,0,12,0,6,0,0,0,0,153,17,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/MultimapBuilder.java,com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys$Anonymous9,anonymous,6,6,0,6,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/AbstractIndexedListIterator.java,com.google.common.collect.AbstractIndexedListIterator,class,7,15,8,7,13,3,0,4,0,0.44444445,0.0,0.0,9,0,6,0,3,0,9,1,6,0,2,0,0,2,0,0,1,0,1,37,6,0,0,0,0,0,3,2,1,2,1,0,0,0,79,1024,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/MultimapBuilder.java,com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys$Anonymous8,anonymous,7,7,0,7,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/MultimapBuilder.java,com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys$Anonymous7,anonymous,7,7,0,7,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/AbstractService.java,com.google.common.util.concurrent.AbstractService$StateSnapshot,innerclass,2,2,0,2,11,1,0,3,0,0.41666666,0.0,0.0,4,0,0,0,0,4,4,0,0,0,3,0,0,0,0,3,3,0,1,27,3,0,6,0,2,4,0,3,1,3,1,0,0,0,78,26,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/MultimapBuilder.java,com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys$Anonymous6,anonymous,7,7,0,7,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/CollectPreconditions.java,com.google.common.collect.CollectPreconditions,class,4,56,52,4,11,1,0,1,15,0.0,0.0,0.0,6,5,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,32,2,0,2,0,0,7,3,0,5,0,1,0,0,0,46,16,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/MultimapBuilder.java,com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys$Anonymous5,anonymous,7,7,0,7,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Sets.java,com.google.common.collect.Sets$Anonymous12$Anonymous13$Anonymous14$Anonymous15,anonymous,5,5,0,5,2,1,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,10,2,0,1,0,0,0,3,2,1,1,1,0,0,0,7,-1,0
